id,status,applicant_submit_date,issue_date,permit_type
142068,Complete,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,Cottage Food
161349,Complete,2022-02-01T00:00:00.000,2022-04-14T00:00:00.000,Cottage Food
167444,Complete,2022-03-22T00:00:00.000,2022-06-07T00:00:00.000,Cottage Food
194429,Complete,2022-09-10T00:00:00.000,2022-10-18T00:00:00.000,Cottage Food
211915,Complete,2023-02-21T00:00:00.000,2023-03-15T00:00:00.000,Cottage Food
1153517,Complete,2025-02-26T00:00:00.000,2025-04-03T00:00:00.000,Cottage Food
1153095,Complete,2025-02-24T00:00:00.000,2025-03-25T00:00:00.000,Cottage Food
1162365,Complete,2025-04-29T00:00:00.000,2025-06-12T00:00:00.000,Cottage Food
1173419,Complete,2025-07-09T00:00:00.000,2025-08-04T00:00:00.000,Cottage Food
1192330,Complete,2025-12-04T00:00:00.000,2026-02-19T00:00:00.000,Cottage Food
1202408,Complete,2026-03-16T00:00:00.000,2026-03-27T00:00:00.000,Cottage Food
1223609,Complete,2026-07-30T00:00:00.000,2026-08-17T00:00:00.000,Cottage Food
275078,Complete,2024-06-07T00:00:00.000,2024-06-20T00:00:00.000,Cottage Food
229403,Complete,2023-06-20T00:00:00.000,2023-06-30T00:00:00.000,Cottage Food
141425,Complete,2021-08-26T00:00:00.000,2021-08-26T00:00:00.000,Cottage Food
