status,applicant_submit_date,issue_date,permit_type
Complete,2021-08-26T00:00:00.000,2021-08-26T00:00:00.000,Cottage Food
Complete,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,Cottage Food
Complete,2022-02-01T00:00:00.000,2022-04-14T00:00:00.000,Cottage Food
Complete,2022-03-22T00:00:00.000,2022-06-07T00:00:00.000,Cottage Food
Complete,2022-09-10T00:00:00.000,2022-10-18T00:00:00.000,Cottage Food
Complete,2023-02-21T00:00:00.000,2023-03-15T00:00:00.000,Cottage Food
Complete,2023-06-20T00:00:00.000,2023-06-30T00:00:00.000,Cottage Food
Complete,2024-06-07T00:00:00.000,2024-06-20T00:00:00.000,Cottage Food
Complete,2025-02-26T00:00:00.000,2025-04-03T00:00:00.000,Cottage Food
Complete,2025-02-24T00:00:00.000,2025-03-25T00:00:00.000,Cottage Food
Complete,2025-04-29T00:00:00.000,2025-06-12T00:00:00.000,Cottage Food
Complete,2025-07-09T00:00:00.000,2025-08-04T00:00:00.000,Cottage Food
Complete,2025-12-04T00:00:00.000,2026-02-19T00:00:00.000,Cottage Food
Complete,2026-03-16T00:00:00.000,2026-03-27T00:00:00.000,Cottage Food
Complete,2026-07-30T00:00:00.000,2026-08-17T00:00:00.000,Cottage Food
